# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
11000 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0.0248414 0.00429185 0 0
16 1.55 0 0 0.217406 0.0472103 0 0
17 1.65 0 0 1.30465 0.339056 0 0
18 1.75 0 0 1.43275 0.699571 0.119652 0.0300429
19 1.85 0 0 1.20576 1.03863 0.305913 0.11588
20 1.95 0 0 0.838012 1.30043 0.481861 0.266094
21 2.05 0 0 0.584237 1.50215 0.697609 0.506438
22 2.15 0 0 0.316437 1.62232 0.894725 0.845494
23 2.25 0 0 0.227024 1.71674 1.15824 1.32618
24 2.35 0 0 0.217576 1.81545 1.60215 2.0515
25 2.45 0.0349639 0.00858369 0.174069 1.90129 1.40427 2.74249
26 2.55 0.61324 0.171674 0.369578 2.09871 1.23189 3.39914
27 2.65 2.51043 0.892704 0.223184 2.22747 1.03631 3.99571
28 2.75 2.77523 1.75107 0.504306 2.54077 0.706162 4.43348
29 2.85 2.24801 2.49785 0.656071 2.97854 0.792845 4.96137
30 2.95 1.56762 3.05579 0.942538 3.65236 0.764075 5.50644
31 3.05 0.947596 3.41631 1.37598 4.70386 0.636001 5.99142
32 3.15 0.973 3.81116 1.56381 5.97854 0.749287 6.60086
33 3.25 0.93392 4.21459 1.61745 7.38197 0.837729 7.32618
34 3.35 0.897702 4.62661 1.41061 8.6824 0.83512 8.09442
35 3.45 0.846419 5.03863 1.37392 10.0258 0.980966 9.0515
36 3.55 0.682828 5.39056 1.16495 11.2318 1.05943 10.1459
37 3.65 0.945259 5.90558 1.04317 12.3734 0.978598 11.2146
38 3.75 0.985073 6.4721 0.928831 13.4464 1.08348 12.4635
39 3.85 1.06201 7.11588 1.08565 14.7682 1.23988 13.97
40 3.95 0.860945 7.66524 0.934268 15.9657 1.16447 15.4592
41 4.05 0.908529 8.27468 1.02249 17.3433 1.13641 16.9871
42 4.15 1.10901 9.05579 1.11639 18.9227 1.03974 18.4549
43 4.25 1.06906 9.84549 0.992158 20.3948 1.09285 20.073
44 4.35 1.06484 10.6695 0.966396 21.897 1.02935 21.6695
45 4.45 0.953931 11.4421 0.941921 23.4292 1.04442 23.3648
46 4.55 1.19634 12.4549 0.946402 25.0386 1.10525 25.2403
47 4.65 1.0969 13.4249 0.981043 26.7811 0.963781 26.9485
48 4.75 1.08842 14.4292 0.923963 28.4936 0.997891 28.794
49 4.85 1.15107 15.5365 0.992872 30.412 1.02172 30.7639
50 4.95 1.05364 16.5923 0.848677 32.1202 0.950939 32.6738
51 5.05 1.11109 17.7511 1.02642 34.2704 1.06559 34.9013
52 5.15 0.997138 18.8326 1.00468 36.4592 0.987097 37.0472
53 5.25 0.79198 19.7253 1.00279 38.7296 0.881463 39.0386
54 5.35 0.94598 20.8326 0.985731 41.0472 0.889066 41.1245
55 5.45 0.996384 22.0429 0.98683 43.4549 0.978375 43.5064
56 5.55 0.89266 23.1674 1.02114 46.0386 0.943437 45.8884
57 5.65 0.98627 24.4549 1.12443 48.9871 0.99399 48.4893
58 5.75 0.977658 25.7768 0.979783 51.6481 1.00406 51.2103
59 5.85 0.913854 27.0558 0.967947 54.3691 0.986859 53.9785
60 5.95 0.942683 28.4206 0.968154 57.1845 0.96432 56.7768
61 6.05 0.848699 29.691 0.987803 60.1545 1.01282 59.8155
62 6.15 0.965611 31.1845 0.982188 63.206 1.01337 62.9571
63 6.25 0.913466 32.6438 0.999162 66.412 1.01338 66.2017
64 6.35 0.957798 34.2232 0.989969 69.691 1.08559 69.7897
65 6.45 1.00401 35.9313 0.97835 73.0343 1.04842 73.3648
66 6.55 1.10079 37.8627 0.992548 76.5322 1.02641 76.9742
67 6.65 1.1059 39.8627 1.03263 80.2833 0.974465 80.5064
68 6.75 1.05035 41.8197 0.99882 84.0215 0.961895 84.0987
69 6.85 1.0199 43.7768 1.01775 87.9442 1.0244 88.0386
70 6.95 1.12982 46.0086 0.956225 91.7382 1.02549 92.0987
71 7.05 1.06843 48.1803 1.01234 95.8712 1.02084 96.2575
72 7.15 1.05929 50.3948 1.02101 100.159 0.966875 100.309
73 7.25 1.10215 52.7639 0.972167 104.356 1.02905 104.742
74 7.35 1.02574 55.03 1.0194 108.88 0.972159 109.047
75 7.45 1.0362 57.382 0.988451 113.386 0.99718 113.584
76 7.55 1.03471 59.794 1.03577 118.236 0.987475 118.197
77 7.65 0.939691 62.0429 0.981191 122.953 1.03072 123.142
78 7.75 0.943555 64.3605 1.06738 128.219 0.96332 127.884
79 7.85 0.984386 66.8412 1.03188 133.442 1.0341 133.107
80 7.95 0.899999 69.1674 1.01601 138.717 0.966827 138.116
81 8.05 1.01058 71.8455 0.990115 143.987 1.01083 143.485
82 8.15 0.90377 74.3004 1.03283 149.622 1.07841 149.356
83 8.25 0.971427 77.0043 1.0256 155.356 0.996264 154.914
84 8.35 1.10183 80.1459 0.992939 161.043 0.960528 160.403
85 8.45 0.990659 83.0386 0.959332 166.67 0.995862 166.232
86 8.55 0.973364 85.9485 0.977048 172.536 1.02141 172.352
87 8.65 0.945378 88.8412 0.951097 178.382 1.00003 178.485
88 8.75 1.0363 92.0858 0.953367 184.378 1.00124 184.768
89 8.85 1.00765 95.3133 1.03334 191.026 0.993449 191.146
90 8.95 1.08745 98.8755 0.956895 197.322 1.01386 197.803
91 9.05 0.961042 102.094 0.998384 204.039 0.993498 204.472
92 9.15 1.063 105.734 0.992907 210.867 1.02506 211.506
93 9.25 1.02542 109.322 0.990485 217.828 0.949777 218.167
94 9.35 0.996399 112.884 1.03635 225.27 1.03259 225.567
95 9.45 0.998927 116.532 0.996981 232.584 1.01027 232.961
96 9.55 1.04026 120.412 1.0272 240.279 0.993237 240.386
97 9.65 0.984999 124.163 0.994798 247.888 0.996375 247.991
98 9.75 0.991393 128.017 1.0377 255.991 1.00523 255.824
99 9.85 0.997327 131.974 1.01782 264.103 1.02756 263.996
100 9.95 0.981621 135.948 0.979519 272.069 1.00384 272.142
11100 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0.0496829 0.00858369 0 0
16 1.55 0 0 0.260887 0.0600858 0 0
17 1.65 0 0 0.882555 0.257511 0 0
