# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
11000 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0 0 0.169854 0.0343348 0.0212774 0.00429185
17 1.65 0 0 0.749478 0.206009 0 0.00429185
18 1.75 0 0 1.58245 0.613734 0.0500795 0.0171674
19 1.85 0 0 1.37132 1.00858 0.328629 0.111588
20 1.95 0 0 0.912314 1.30043 0.497474 0.270386
21 2.05 0 0 0.473446 1.46781 0.766442 0.540773
22 2.15 0 0 0.430437 1.63519 0.940149 0.905579
23 2.25 0 0 0.302332 1.76395 1.05034 1.35193
24 2.35 0 0 0.258676 1.88412 1.30542 1.95708
25 2.45 0 0 0.203995 1.98712 1.37992 2.65236
26 2.55 0.598888 0.16309 0.227542 2.11159 1.28169 3.35193
27 2.65 1.92632 0.729614 0.363267 2.32618 0.997493 3.93991
28 2.75 2.98131 1.67382 0.472264 2.62661 0.845142 4.47639
29 2.85 2.29633 2.45494 0.753784 3.14163 0.856125 5.06009
30 2.95 1.6958 3.07296 0.961519 3.84549 0.757944 5.61373
31 3.05 1.18982 3.53648 1.18472 4.77253 0.82449 6.25751
32 3.15 0.908914 3.91416 1.41408 5.95279 0.757517 6.88841
33 3.25 0.892657 4.30901 1.47816 7.26609 0.798759 7.59657
34 3.35 0.78537 4.67811 1.47307 8.65665 0.801906 8.35193
35 3.45 0.947157 5.15021 1.56896 10.2275 0.940824 9.29185
36 3.55 1.15478 5.75966 1.13363 11.4292 0.998119 10.3476
37 3.65 0.800052 6.20601 1.19493 12.7682 1.08619 11.5622
38 3.75 1.07863 6.8412 1.18285 14.1674 1.21448 12.9957
39 3.85 0.788237 7.33047 1.05336 15.4807 1.12117 14.3906
40 3.95 0.985307 7.97425 0.994159 16.7854 1.15688 15.9056
41 4.05 0.887266 8.58369 0.908344 18.0386 1.14722 17.485
42 4.15 0.892631 9.22747 0.93324 19.3906 1.04807 19
43 4.25 1.19157 10.1288 1.01131 20.927 1.12673 20.7082
44 4.35 1.14825 11.0386 0.976137 22.4807 1.00796 22.309
45 4.45 1.05582 11.9142 0.937914 24.0429 1.06388 24.0773
46 4.55 1.07923 12.8498 0.921788 25.6481 1.00034 25.8155
47 4.65 1.06175 13.8112 0.988761 27.4464 1.06302 27.7446
48 4.75 1.09928 14.8498 0.981491 29.309 1.06406 29.7597
49 4.85 1.03699 15.8712 1.03471 31.3562 0.989112 31.7124
50 4.95 1.121 17.0215 0.92669 33.2661 1.06225 33.897
51 5.05 0.964522 18.0515 0.984392 35.3777 0.954427 35.9399
52 5.15 1.09746 19.2704 1.03696 37.691 0.952427 38.0601
53 5.25 0.989117 20.412 1.02745 40.073 0.949885 40.2575
54 5.35 1.0241 21.6395 0.996532 42.4721 0.936147 42.5064
55 5.45 1.02827 22.9185 1.04276 45.0773 0.967529 44.9185
56 5.55 0.858459 24.0258 1.0254 47.7339 1.01432 47.5408
57 5.65 0.860447 25.176 1.0118 50.4506 0.96432 50.1245
58 5.75 0.886578 26.4034 0.944506 53.0773 0.929524 52.7039
59 5.85 0.898456 27.691 0.991515 55.9313 0.996635 55.5665
60 5.95 0.86851 28.9785 0.971439 58.824 0.977861 58.4721
61 6.05 0.957642 30.4464 0.978625 61.8369 1.02264 61.6137
62 6.15 1.10018 32.1888 0.951106 64.8627 1.0559 64.9657
63 6.25 0.949811 33.7425 0.997985 68.1416 0.928132 68.0086
64 6.35 0.996385 35.4249 1.00223 71.5408 1.06146 71.6009
65 6.45 0.955876 37.0901 0.954226 74.8798 0.995611 75.0773
66 6.55 1.01769 38.9185 0.933638 78.2489 0.974979 78.588
67 6.65 1.06612 40.8927 0.986539 81.9185 0.97941 82.2232
68 6.75 1.04376 42.8841 1.04712 85.9313 1.02019 86.1245
69 6.85 1.06156 44.97 0.95696 89.7082 0.967736 89.9356
70 6.95 0.929383 46.8498 1.02047 93.8541 1.02902 94.1073
71 7.05 1.10529 49.1502 1.06051 98.2876 1.03707 98.4335
72 7.15 1.13875 51.588 1.04403 102.777 1.08928 103.107
73 7.25 1.08415 53.9742 1.00669 107.227 0.972859 107.399
74 7.35 1.03588 56.3176 0.975706 111.661 0.929529 111.614
75 7.45 0.949165 58.5236 1.01037 116.378 1.00332 116.288
76 7.55 0.99611 60.9013 1.01511 121.245 1.01101 121.124
77 7.65 1.01928 63.3991 1.01664 126.249 0.971647 125.897
78 7.75 0.969252 65.8369 1.04665 131.536 0.997817 130.927
79 7.85 0.941389 68.2661 0.989515 136.665 1.03894 136.3
80 7.95 0.979478 70.8584 0.986577 141.91 1.05423 141.893
81 8.05 1.05019 73.7082 0.987416 147.292 1.01953 147.438
82 8.15 1.02149 76.5494 1.01557 152.966 0.946929 152.717
83 8.25 0.951703 79.2618 0.998598 158.682 1.04057 158.661
84 8.35 0.931985 81.9828 1.01727 164.648 1.02533 164.661
85 8.45 1.06795 85.176 0.958319 170.403 0.999053 170.648
86 8.55 1.08518 88.4979 1.00863 176.605 1.0115 176.854
87 8.65 0.917773 91.3734 0.994307 182.863 0.992344 183.086
88 8.75 1.00133 94.5837 0.96971 189.107 0.951091 189.197
89 8.85 1.01286 97.9056 1.01568 195.798 0.991091 195.712
90 8.95 1.03129 101.365 0.982276 202.416 1.00673 202.481
91 9.05 0.946058 104.609 1.00368 209.33 0.987104 209.266
92 9.15 0.996496 108.103 0.989172 216.296 1.02611 216.476
93 9.25 0.931944 111.442 0.991755 223.433 0.967591 223.425
94 9.35 0.975425 115.013 0.992834 230.734 1.03124 230.991
95 9.45 1.03982 118.901 1.04107 238.554 0.98748 238.393
96 9.55 0.952978 122.541 0.994766 246.185 1.01961 246.197
97 9.65 1.11383 126.884 1.00932 254.09 1.01534 254.133
98 9.75 1.06523 131.124 0.990337 262.009 1.00054 262.116
99 9.85 1.04582 135.373 0.999783 270.167 1.01168 270.354
100 9.95 1.01455 139.579 1.07462 279.116 0.96924 278.408
11100 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0 0 0.127391 0.0257511 0 0
17 1.65 0 0 0.936848 0.240343 0.0187772 0.00429185
18 1.75 0 0 1.53247 0.635193 0.0834658 0.0257511
