# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
11000 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0 0 0.125485 0.0257511 0 0
17 1.65 0 0 0.793641 0.2103 0.0184964 0.00429185
18 1.75 0 0 1.91976 0.712446 0.0657741 0.0214592
19 1.85 0 0 1.07184 1.02575 0.147143 0.0643777
20 1.95 0 0 0.898671 1.3176 0.569499 0.248927
21 2.05 0 0 0.538115 1.51073 0.790932 0.532189
22 2.15 0 0 0.434872 1.6824 1.1331 0.978541
23 2.25 0 0 0.277957 1.80258 1.19381 1.49356
24 2.35 0 0 0.227507 1.90987 1.22206 2.06867
25 2.45 0 0 0.234435 2.03004 1.46837 2.81974
26 2.55 0.465736 0.128755 0.200953 2.14163 1.2238 3.49785
27 2.65 2.09876 0.755365 0.250485 2.29185 0.953888 4.06867
28 2.75 3.41728 1.85408 0.518367 2.62661 0.852483 4.61803
29 2.85 1.73999 2.45494 0.723949 3.12876 0.638693 5.06009
30 2.95 1.80964 3.12446 1.14927 3.98283 0.717671 5.59227
31 3.05 1.28055 3.6309 1.19942 4.93562 0.779674 6.2103
32 3.15 1.1802 4.12876 1.41826 6.13734 0.807103 6.8927
33 3.25 0.669039 4.42918 1.39419 7.39485 0.786814 7.60086
34 3.35 0.863582 4.8412 1.41969 8.75536 0.812355 8.37768
35 3.45 0.949956 5.32189 1.48638 10.2661 0.935218 9.32618
36 3.55 0.736981 5.71674 1.35597 11.7253 1.14706 10.5579
37 3.65 0.954799 6.25751 1.2676 13.1674 1.10776 11.8155
38 3.75 0.847126 6.76395 0.993603 14.3605 1.20348 13.2575
39 3.85 0.9944 7.39056 1.03082 15.6652 1.18596 14.7554
40 3.95 1.03528 8.07725 0.992178 16.9871 1.15895 16.2961
41 4.05 0.972476 8.75536 1.02039 18.4163 1.13928 17.8884
42 4.15 1.16065 9.60515 0.945549 19.8069 1.13183 19.5494
43 4.25 0.983714 10.3605 1.03793 21.4077 1.00391 21.0944
44 4.35 1.12041 11.2618 0.895135 22.8541 1.01685 22.7339
45 4.45 1.25415 12.3176 0.994956 24.5365 0.946224 24.3305
46 4.55 1.1021 13.2876 0.912859 26.1502 1.02431 26.1373
47 4.65 0.840435 14.0601 1.01117 28.0172 1.06226 28.0944
48 4.75 1.14549 15.1588 0.96013 29.867 0.995682 30.0086
49 4.85 0.969982 16.1288 0.920947 31.7167 1.03642 32.0858
50 4.95 1.12896 17.3047 0.960012 33.7253 0.997024 34.1674
51 5.05 0.989685 18.3777 0.971642 35.8412 1.00731 36.3562
52 5.15 1.01253 19.5193 0.902059 37.8841 0.972369 38.5536
53 5.25 0.901068 20.5751 1.01756 40.279 0.889993 40.6438
54 5.35 0.818318 21.5708 1.00095 42.7253 0.918628 42.8841
55 5.45 0.938119 22.7554 1.0627 45.4206 1.00054 45.4163
56 5.55 0.839066 23.8541 0.96927 47.97 0.958273 47.9313
57 5.65 1.08794 25.3305 1.03131 50.7811 0.970412 50.5708
58 5.75 0.879427 26.5665 1.01855 53.6567 1.02379 53.4549
59 5.85 0.87912 27.8455 0.986968 56.5408 0.977316 56.3047
60 5.95 0.906853 29.2103 0.981048 59.5064 0.974621 59.2446
61 6.05 1.04813 30.8412 1.02029 62.6953 1.00872 62.3906
62 6.15 0.982295 32.4206 0.99004 65.8927 0.982847 65.5579
63 6.25 1.11136 34.2661 0.944459 69.0429 1.04707 69.0429
64 6.35 0.981485 35.9485 0.97478 72.3991 1.01435 72.5279
65 6.45 0.980409 37.6824 0.915793 75.6524 1.02068 76.1459
66 6.55 1.06366 39.6223 1.05441 79.515 1.01206 79.8455
67 6.65 0.967985 41.4421 1.00475 83.309 0.959069 83.4592
68 6.75 1.11235 43.5966 1.00829 87.2318 1.02704 87.4464
69 6.85 1.12314 45.8369 0.99728 91.2275 0.983322 91.3777
70 6.95 1.00327 47.897 1.0229 95.4464 1.02927 95.6137
71 7.05 1.02376 50.0601 1.00723 99.721 0.985076 99.7854
72 7.15 1.11777 52.4893 1.00384 104.103 1.03063 104.275
73 7.25 0.9719 54.6609 1.03371 108.742 1.02348 108.858
74 7.35 1.04281 57.0558 1.00764 113.391 1.05456 113.712
75 7.45 1.00046 59.4163 1.03148 118.279 1.00103 118.446
76 7.55 1.02726 61.9056 1.01933 123.24 0.96143 123.116
77 7.65 1.04199 64.4979 1.03666 128.421 1.01048 128.155
78 7.75 0.921139 66.8498 1.03351 133.721 0.966961 133.103
79 7.85 1.01578 69.5107 0.985321 138.906 1.00624 138.386
80 7.95 1.00317 72.206 1.00841 144.348 1.00021 143.773
81 8.05 1.0376 75.0644 0.99204 149.837 1.00817 149.339
82 8.15 0.957578 77.7682 0.996601 155.489 0.991161 154.948
83 8.25 0.925605 80.4464 0.989573 161.24 1.0065 160.785
84 8.35 0.9528 83.2704 0.960966 166.961 1.03167 166.914
85 8.45 0.986941 86.2661 0.991152 173.004 0.96436 172.781
86 8.55 1.02752 89.4592 0.994231 179.21 1.04116 179.266
87 8.65 0.931035 92.4206 0.966002 185.382 1.00915 185.7
88 8.75 0.991633 95.6481 0.973591 191.747 1.04213 192.498
89 8.85 1.03896 99.1073 1.00755 198.485 0.997493 199.155
90 8.95 1.02847 102.609 0.998961 205.318 0.981616 205.854
91 9.05 1.03792 106.223 0.997259 212.292 0.965578 212.592
92 9.15 1.0033 109.794 1.0062 219.485 0.975873 219.554
93 9.25 1.0596 113.648 0.966937 226.549 1.00669 226.893
94 9.35 1.04399 117.528 1.01421 234.12 0.963957 234.073
95 9.45 1.00392 121.339 1.00411 241.777 0.9792 241.524
96 9.55 0.958653 125.056 1.00745 249.622 0.976474 249.112
97 9.65 0.945392 128.798 1.025 257.773 1.0483 257.429
98 9.75 0.960085 132.678 0.968654 265.635 1.01525 265.652
99 9.85 1.01561 136.867 1.00866 273.991 0.995776 273.884
100 9.95 1.06057 141.33 0.987982 282.343 1.01199 282.421
11100 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0 0 0.188228 0.0386266 0 0
17 1.65 0 0 0.830554 0.23176 0 0
18 1.75 0 0 1.72286 0.682403 0.115105 0.0300429
