# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
11000 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0 0 0 0 0 0
17 1.65 0 0 0.218632 0.0515021 0.0365171 0.00858369
18 1.75 0 0 1.1338 0.351931 0.032464 0.0171674
19 1.85 0 0 1.50736 0.798283 0.217876 0.0815451
20 1.95 0 0 0.926249 1.103 0.339919 0.193133
21 2.05 0 0 0.57841 1.3133 0.603314 0.412017
22 2.15 0 0 0.547329 1.53219 0.935688 0.785408
23 2.25 0 0 0.421372 1.71674 1.07043 1.25322
24 2.35 0 0 0.296447 1.85837 1.17033 1.81116
25 2.45 0 0 0.231419 1.97854 1.25898 2.46352
26 2.55 0.183898 0.0515021 0.267034 2.12876 1.10102 3.08155
27 2.65 1.67444 0.55794 0.402685 2.37339 1.22481 3.82403
28 2.75 3.16249 1.58798 0.636345 2.7897 1.06505 4.51931
29 2.85 2.25744 2.37768 0.971173 3.4721 0.948777 5.18455
30 2.95 1.69476 3.01288 1.30552 4.45494 0.845557 5.81974
31 3.05 1.88541 3.76824 1.31199 5.51073 0.828438 6.48498
32 3.15 1.32571 4.33476 1.65002 6.92704 1.0172 7.35622
33 3.25 0.962345 4.77253 1.29641 8.11159 0.964983 8.23605
34 3.35 1.03007 5.27039 1.36164 9.43348 0.956971 9.16309
35 3.45 0.870756 5.71674 1.26301 10.7339 0.998381 10.1888
36 3.55 1.09125 6.30901 1.32278 12.176 1.14809 11.4378
37 3.65 1.03228 6.90129 1.13213 13.4807 1.07485 12.6738
38 3.75 0.83623 7.40773 1.18898 14.927 1.11375 14.0258
39 3.85 0.833696 7.93991 1.00417 16.2146 1.15393 15.5021
40 3.95 0.894216 8.54077 0.953977 17.5021 1.08987 16.97
41 4.05 0.947816 9.2103 0.992146 18.9099 1.09735 18.5236
42 4.15 1.06471 10 1.01405 20.4206 0.998908 20.0086
43 4.25 1.18072 10.9185 0.988868 21.9657 1.04054 21.6309
44 4.35 0.947996 11.691 0.901975 23.4421 0.990628 23.2489
45 4.45 1.07698 12.6094 0.979653 25.1202 0.876302 24.7468
46 4.55 0.847236 13.3648 0.984998 26.8841 0.93668 26.4206
47 4.65 0.931023 14.2318 0.927027 28.618 1.09229 28.4592
48 4.75 0.909904 15.1159 0.873014 30.3219 0.95643 30.3219
49 4.85 0.999873 16.1288 0.890118 32.133 1.02943 32.412
50 4.95 1.00056 17.1845 0.953739 34.1545 1.02073 34.5708
51 5.05 0.883168 18.1545 0.998055 36.3562 1.0119 36.7983
52 5.15 0.864234 19.1416 0.963414 38.5665 1.0461 39.1931
53 5.25 1.0558 20.3948 0.982867 40.9099 0.952509 41.4592
54 5.35 0.960994 21.5794 0.904866 43.1502 0.950241 43.8069
55 5.45 1.02671 22.8927 1.01896 45.7682 0.949171 46.2403
56 5.55 1.01593 24.2403 1.02607 48.5021 0.942718 48.7468
57 5.65 0.93658 25.5279 1.00716 51.2833 0.92522 51.2961
58 5.75 1.07912 27.0644 1.01446 54.1845 0.982049 54.0987
59 5.85 0.995946 28.5322 1.06851 57.3476 1.02867 57.1373
60 5.95 1.07535 30.1717 0.965626 60.3047 1.00422 60.206
61 6.05 1.01287 31.7682 1.03292 63.5751 1.06231 63.5622
62 6.15 1.01182 33.4163 1.02322 66.9227 1.01227 66.867
63 6.25 0.989907 35.0815 1.0136 70.3476 0.987778 70.1974
64 6.35 1.1913 37.1502 1.025 73.9227 1.02104 73.7511
65 6.45 0.967799 38.8841 1.01374 77.5708 0.983645 77.2833
66 6.55 1.10108 40.9185 0.979549 81.206 1.04192 81.1416
67 6.65 0.928491 42.6867 1.06026 85.2618 0.964723 84.824
68 6.75 1.04992 44.7468 0.989879 89.1631 1.05858 88.9871
69 6.85 0.921791 46.6094 0.978108 93.133 1.05545 93.2618
70 6.95 0.944975 48.5751 1.0005 97.3133 0.988237 97.382
71 7.05 1.03867 50.7983 1.04619 101.811 1.06244 101.94
72 7.15 0.970827 52.9356 1.00451 106.253 0.982356 106.275
73 7.25 1.08075 55.382 0.976993 110.695 1.02355 110.918
74 7.35 1.05892 57.8455 0.989164 115.318 1.01982 115.674
75 7.45 1.01273 60.2661 1.0343 120.283 0.939774 120.176
76 7.55 1.00706 62.7382 0.969658 125.064 0.973488 124.966
77 7.65 0.916189 65.0472 1.01739 130.215 0.995785 129.996
78 7.75 1.05531 67.7768 0.987171 135.343 0.981015 135.082
79 7.85 0.950964 70.3004 1.02015 140.781 1.01831 140.498
80 7.95 0.946113 72.8755 0.99308 146.21 0.973974 145.811
81 8.05 0.925829 75.4592 0.977749 151.691 1.01438 151.485
82 8.15 1.04729 78.4549 0.987517 157.365 1.00461 157.245
83 8.25 1.06598 81.5794 0.992882 163.21 1.00378 163.142
84 8.35 0.983427 84.5322 0.987746 169.167 0.999854 169.159
85 8.45 0.907249 87.3219 0.992301 175.296 1.01463 175.412
86 8.55 0.987036 90.4292 1.01674 181.725 0.980152 181.597
87 8.65 1.00431 93.6652 0.973471 188.026 0.988855 187.983
88 8.75 1.09082 97.2618 0.951995 194.33 0.98067 194.464
89 8.85 1.10449 100.987 0.991419 201.047 1.02148 201.369
90 8.95 1.07497 104.695 1.01461 208.077 1.00437 208.313
91 9.05 0.922358 107.948 1.01775 215.288 0.998084 215.369
92 9.15 1.07134 111.811 1.01696 222.652 1.03281 222.833
93 9.25 0.929495 115.236 1.00611 230.099 0.997232 230.197
94 9.35 0.950759 118.815 1.00457 237.695 0.968053 237.502
95 9.45 0.935208 122.412 0.997311 245.399 0.982195 245.073
96 9.55 1.08619 126.678 1.02006 253.446 1.02389 253.133
97 9.65 1.02527 130.79 1.02194 261.678 1.00598 261.219
98 9.75 1.00225 134.893 0.979682 269.734 0.998004 269.408
99 9.85 0.967624 138.936 0.995689 278.09 1.02704 278.009
100 9.95 1.03484 143.348 1.01336 286.768 1.0281 286.794
11100 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0 0 0.0206452 0.00429185 0 0
17 1.65 0 0 0.29151 0.0729614 0.0365171 0.00858369
18 1.75 0 0 0.809859 0.287554 0.0649281 0.0257511
